ticker,company_name,sector,market_cap,forward_pe,trailing_pe,price_to_book,profit_margins,operating_margins
FICO,Fair Isaac Corporation,Technology,48993697792,54.526203,98.30167,,0.29858,0.4345
FAST,Fastenal Company,Industrials,42499547136,33.921516,36.90796,11.814779,0.15439999,0.20317
FRT,Federal Realty Investment Trust,Real Estate,8895638528,32.96529,30.21221,2.991222,0.24791001,0.35044998
FDX,FedEx Corporation,Industrials,66971631616,12.230323,17.756226,2.4628878,0.0462,0.0764
FIS,"Fidelity National Information Services, Inc.",Technology,42061594624,13.678603,80.54639,2.560464,0.14146,0.2358
FITB,Fifth Third Bancorp,Financial Services,29207486464,12.159125,14.665,1.5937908,0.27583,0.36917
FSLR,"First Solar, Inc.",Technology,20332455936,8.953017,16.372414,2.6775694,0.32412997,0.36275002
FE,FirstEnergy Corp.,Utilities,22608914432,13.577542,25.309677,1.8193201,0.06729,0.22151
FI,"Fiserv, Inc.",Technology,116053786624,20.006573,39.456482,4.189911,0.15222,0.30719
FMC,FMC Corporation,Basic Materials,6678726144,11.538852,4.3888435,1.4494325,0.34931,0.14849
F,Ford Motor Company,Consumer Cyclical,39583928320,5.536317,11.318182,0.8932736,0.01931,0.02678
FTNT,"Fortinet, Inc.",Technology,71311556608,38.415264,46.754272,78.44941,0.26790002,0.31152
FTV,Fortive Corporation,Technology,26912833536,18.636509,31.028,2.5494642,0.14355,0.19379999
FOXA,Fox Corporation,Communication Services,21725077504,12.633653,11.91687,1.978968,0.13399,0.2674
FOX,Fox Corporation,Communication Services,21667239936,19.71915,11.330073,1.8815218,0.13399,0.2674
BEN,"Franklin Resources, Inc.",Financial Services,10199329792,7.6962614,22.9,0.81481016,0.054819997,0.13069999
FCX,Freeport-McMoRan Inc.,Basic Materials,57125154816,20.034773,28.807972,3.2554047,0.07812,0.29042998
GRMN,Garmin Ltd.,Technology,41099108352,27.964983,27.161167,5.478256,0.2548,0.27583
IT,"Gartner, Inc.",Technology,39201968128,38.70377,37.53545,36.99716,0.1733,0.16731001
GE,GE Aerospace,Industrials,194779742208,34.28751,35.427166,10.319973,0.08926,0.18247999
GEHC,GE HealthCare Technologies Inc.,Healthcare,38331645952,18.023167,22.986301,4.608624,0.08564,0.16059999
GEV,GE Vernova Inc.,Utilities,107719671808,58.51673,93.04286,11.324003,0.03675,-0.00247
GEN,Gen Digital Inc.,Technology,16908080128,11.195035,27.71212,8.054903,0.16153,0.41581002
GNRC,Generac Holdings Inc.,Industrials,9556456448,19.385555,33.462498,3.9662194,0.07169,0.14369
GD,General Dynamics Corporation,Industrials,72942395392,16.647892,20.219131,3.1700366,0.07903,0.10205
GIS,"General Mills, Inc.",Consumer Defensive,32131254272,12.731606,12.67174,3.468198,0.12136,0.175
GM,General Motors Company,Consumer Cyclical,57256173568,4.9181194,5.557097,0.8074621,0.06058,0.07857
GPC,Genuine Parts Company,Consumer Cyclical,16306142208,13.633738,15.113401,3.4730077,0.046690002,0.063319996
GILD,"Gilead Sciences, Inc.",Healthcare,114569601024,12.1561775,1021.4444,6.2001753,0.00445,0.41962
GPN,Global Payments Inc.,Industrials,27783219200,8.52766,20.598112,1.2175047,0.13612,0.2663
GL,Globe Life Inc.,Financial Services,9670475776,8.4852,9.762712,2.0929852,0.19037001,0.28285998
GDDY,GoDaddy Inc.,Technology,28037488640,24.545677,16.02809,78.564125,0.41335,0.22159
GS,"The Goldman Sachs Group, Inc.",Financial Services,188962848768,12.2313795,17.642586,1.8374385,0.24648,0.32743
HAL,Halliburton Company,Energy,25199828992,9.379946,10.02972,2.4460645,0.11038999,0.17114
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,32186888192,9.57366,11.136509,1.936531,0.11612,0.14918
HAS,"Hasbro, Inc.",Consumer Cyclical,7802290688,12.780699,,6.0609016,-0.14833,0.23562
HCA,"HCA Healthcare, Inc.",Healthcare,77648191488,12.45273,13.771338,,0.085159995,0.13781999
DOC,"Healthpeak Properties, Inc.",Real Estate,14275632128,55.162163,41.65306,1.667075,0.12109999,0.16525999
HSIC,"Henry Schein, Inc.",Healthcare,8885391360,13.764577,29.206966,2.5461788,0.025120001,0.06553
HSY,The Hershey Company,Consumer Defensive,30806528000,19.64841,17.498852,7.325923,0.16166,0.22027999
HES,Hess Corporation,Energy,45598388224,18.760387,17.248253,4.199966,0.21183,0.33291
HPE,Hewlett Packard Enterprise Company,Technology,30482771968,10.14574,12.0077715,1.3629146,0.06392,0.07808
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,59798016000,30.65716,52.413464,,0.25069,0.50161
HOLX,"Hologic, Inc.",Healthcare,15767861248,14.73067,20.927711,3.1662414,0.17592,0.24355
HD,"The Home Depot, Inc.",Consumer Cyclical,399550480384,25.551275,27.30618,68.88508,0.0945,0.13472
HON,Honeywell International Inc.,Industrials,141802602496,19.91798,25.210983,8.146854,0.15015,0.2207
HRL,Hormel Foods Corporation,Consumer Defensive,16209608704,16.316843,20.085033,2.0579214,0.065170005,0.08943
HST,"Host Hotels & Resorts, Inc.",Real Estate,12381545472,18.95768,16.96602,1.8199333,0.12898,0.08176
HWM,Howmet Aerospace Inc.,Industrials,49129140224,37.776104,46.51154,11.069107,0.14814,0.22452
HPQ,HP Inc.,Technology,30858242048,8.764336,11.709964,,0.053319998,0.07486
HUBB,Hubbell Incorporated,Industrials,23071068160,24.16934,30.99243,7.1761374,0.1333,0.21149
HUM,Humana Inc.,Healthcare,33771071488,16.170294,24.49476,1.9226393,0.011820001,0.02664
HBAN,Huntington Bancshares Incorporated,Financial Services,24639655936,12.451727,16.466019,1.3529035,0.24709,0.37835
HII,"Huntington Ingalls Industries, Inc.",Industrials,7736253952,12.638662,11.163751,1.8406353,0.05987,0.04147
IBM,International Business Machines Corporation,Technology,202427908096,20.393553,31.913265,8.280068,0.10222,0.14130999
IEX,IDEX Corporation,Industrials,16343359488,25.198832,33.410217,4.289576,0.1535,0.22375
IDXX,"IDEXX Laboratories, Inc.",Healthcare,34724847616,35.666046,41.012573,21.501293,0.22530001,0.37455
ITW,Illinois Tool Works Inc.,Industrials,75137613824,23.65223,22.010813,22.15841,0.21663,0.26752
INCY,Incyte Corporation,Healthcare,13932447744,11.890728,803.55554,4.3968873,0.00797,0.14961
IR,Ingersoll Rand Inc.,Industrials,36643868672,25.747143,44.35366,3.57199,0.11715999,0.20698999
PODD,Insulet Corporation,Healthcare,18600996864,67.4578,45.17547,16.637178,0.21215999,0.16198
INTC,Intel Corporation,Technology,83057164288,19.699457,,0.83368975,-0.29423,-0.0104600005
ICE,"Intercontinental Exchange, Inc.",Financial Services,84593500160,22.07826,34.99525,3.1053452,0.26525998,0.4768
IFF,International Flavors & Fragrances Inc.,Basic Materials,21431265280,18.143879,,1.4505997,-0.20331,0.08547
IP,International Paper Company,Consumer Cyclical,19291566080,18.418827,47.46154,2.2355971,0.02253,0.05356
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,10316803072,10.063297,13.06368,2.7689462,0.086540006,0.16194999
INTU,Intuit Inc.,Technology,173962805248,28.149057,60.3965,9.447856,0.18195,0.15697
ISRG,"Intuitive Surgical, Inc.",Healthcare,204998819840,73.2264,92.83064,13.155729,0.28513,0.28325
IVZ,Invesco Ltd.,Financial Services,7579805696,8.946427,,0.7055009,-0.030030001,0.19670999
INVH,Invitation Homes Inc.,Real Estate,18963218432,42.012756,42.993053,1.9123371,0.17238002,0.26127002
IQV,IQVIA Holdings Inc.,Healthcare,35535884288,16.406466,25.76184,5.103349,0.09174,0.14836
IRM,Iron Mountain Incorporated,Real Estate,30987909120,53.80774,293.31943,,0.01748,0.19572
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,18686824448,26.399534,33.696365,4.671439,0.046469998,0.07304
JBL,Jabil Inc.,Technology,17101798400,15.47534,14.819301,10.257351,0.048060004,0.05327
