Ford,Clorox,Chubb,Hormel Food,Grainger,AT&T,AbbVie,Amcor,Ecolab,Pentair
-0.041689073,-0.012310303,-0.022375637,-0.012758107,-0.010607123,-0.015705807,-0.01515439,-0.009174335,-0.013170188,-0.025055827
-0.028514995,0.0051423,-0.002366297,-0.013688349,-0.022074236,0.0059864,0.015889422,-0.010190051,0.002660636,-0.031944399
-0.005802094,0.007630834,-0.03289384,0.003821201,-0.004465032,-0.007078775,0.014851348,0.000930768,-0.001709508,-0.008578847
-0.008347305,0.016455527,0.01051851,-0.00050871,0.016561911,0.007621288,0.012426674,0.012939162,0.017526055,0.021216855
-0.018613031,0.01644518,-0.034664424,0.003301452,-0.027168188,-0.007074922,0.001363937,-0.013869929,-0.008504788,-0.031803053
0.009349821,-0.009511796,0.02795958,-0.007124601,0.020147859,0.004359697,0.008016624,0.004644718,-0.00289307,0.007902136
-0.044990294,-0.005633669,-0.026727504,-0.020901411,-0.026517948,-0.014239025,-0.006978648,-0.00837599,-0.026744877,-0.022717334
-0.010676217,0.015848803,0.014825286,0.01063435,0.015538107,0.019662067,0.01224478,0.020352251,0.014435929,0.010354818
0.04717036,0.001788049,0.024487996,-0.006470869,0.010231026,0.002700504,0.004154861,0.006389741,0.009551777,0.025900631
-0.020690493,-0.013424804,-0.022117298,-0.00860607,-0.018097037,-0.008123545,-0.019972295,-0.016514138,-0.013912132,-0.027846238
-0.005240121,-0.000193948,-0.021434133,-0.006042279,-0.004842549,0.003799255,0.010551302,0.002771285,0.009147696,-0.006643163
0.007849966,0.018519638,0.002898989,0.018277279,-0.002678812,0.008092865,0.017362978,0.00826845,0.020920735,0.01498219
0.000868497,0.001649286,0.01262428,0.008245253,0.012072731,0.013874299,-0.003042385,0.003652899,-0.000935705,0.018370303
0.006920506,-0.007443847,0.00338197,0.004863748,0.006204022,-0.007980967,0.004496769,0.005454685,-0.000187478,0.014307429
0.038059479,-0.006985223,0.019330877,0.003568698,-0.001184365,0.014846537,-0.001581074,0.007226625,0.012717069,0.007819828
0.019721273,-0.006840055,0.000827503,-0.001527864,-0.00858435,0.004201537,-0.00050644,0.002696647,0.006451329,-0.002971748
0.024910898,0.024307325,0.003921526,0.016178235,0.028777906,0.008870546,0.009139909,0.021315227,0.013685965,0.027700546
0.006329111,-0.009460785,0.012792497,0.013449718,-0.008221835,0.007246314,0.006566872,-0.007054744,0.002955775,-0.00271768
0.003149679,-0.00543757,-0.00622227,0.011805422,-0.039546849,0.012810943,-0.00399754,-0.007104775,-0.006951036,-0.0240532
-0.023062707,0.00970275,0.00270794,-0.010074917,-0.01601036,0.012145891,0.006363503,0.007989436,0.007432884,-0.02808076
-0.008077599,0.002157404,0.004124291,-0.004455546,-0.007127934,0.002445677,0.004653376,-0.005319285,0.005643168,0.005147292
0.031140306,0.001140423,-0.003920291,-0.002235163,0.015157459,-0.004079598,-0.001672675,-0.014324319,-0.006486414,0.009085819
0.011723438,0.007380654,0.010403254,0.002979084,-0.004708195,0.006113173,0.000619849,-0.009057992,-0.00495321,0.006947728
-0.015661966,-0.011886216,0.005789056,-0.002979084,0.010707411,0.004054838,0.006054231,0.002726146,-0.005403919,-0.005065213
-0.01671356,0.010880006,0.004457206,-0.001741929,-0.013348125,0.009564456,0.011187815,0.01530862,0.015106016,0.007308231
0.004803875,-0.004540001,-0.021925583,-0.01554349,0.006811408,-0.001504035,-0.006784329,-0.008075368,-0.014375825,-0.011643345
0.012698534,-0.000568955,0.012335485,0.014163096,0.014803024,-0.007049367,-0.00254053,0,-0.002558384,0.002264273
0.00393551,0.014750928,0.017404756,-0.001759389,0.008318643,0.001514719,-0.00991369,0.00539088,0.002071555,-0.003398173
-0.040887487,0.000311521,0.013836119,0.002010532,-0.001366808,-0.00607285,0.01009987,-0.007194411,0.002249683,-0.001324635
-0.02905974,0.014838928,-0.002644045,0.00175596,0.002611529,-0.109882922,0.00328227,-0.005429721,-0.001884423,0.007954569
-0.005067515,0.014137931,-0.013674158,-0.001254015,0.004397055,0.031784099,0.004133771,0.003623119,0.007576979,0.00845315
0.029205154,-0.000242051,-0.003086399,-0.003771125,0.00774473,-0.038606134,0.010230172,0.000903568,0.002894289,0.009679849
-0.020185665,0.005228882,0.003036708,0.008028173,-0.005181357,-0.001141535,0.004985062,-0.022842324,-0.01077553,-0.01230209
-0.019734737,-0.008893282,-0.01406614,-0.004507989,-0.018038219,-0.017862748,-0.018978158,-0.009285075,-0.010523863,-0.017023328
0.006047527,0.016685823,0.003321576,0.014205902,0.053899661,0.023557552,-0.083287601,0.018484826,0.021781067,0.093018312
0.022989615,-0.003435798,0.01263158,0.000741996,-0.001135119,0.003401369,0.015000795,0.004568236,0.01005985,0.009514928
0.015037883,0.009016142,0.002873389,0.004687451,0.000560517,-0.009667399,0.016993543,0.00817077,0.005585008,-0.008125281
-0.021794619,0.003583854,-0.008146211,-0.010391035,-0.010326637,-0.0248784,-0.013690328,-0.012739005,0.032066995,0.004157286
-0.000847866,0.045969672,-0.013658956,0.010391035,-0.007577988,0.001171002,-0.015754651,-0.087011386,-0.005408103,-0.003289736
-0.019700838,-0.026368175,-0.011748437,0.006867728,-0.023848118,-0.010588411,-0.012744194,0.019782949,-0.005669686,-0.009409391
0.036522023,-0.008454662,0.017546095,0.007063774,0.014718972,0.012926128,0.004536351,0.020359523,0.007571608,0.01304485
0.002499103,-0.014192242,0.003662925,-0.013685439,0.00400373,-0.000583902,-0.003925865,0.003831345,-0.004848485,0.011852746
-0.013400616,0.005487024,0.009074276,-0.011881337,0.009231562,-0.005858277,-0.004213625,-0.014444145,0.000115785,-0.002393665
0.002526376,0.002376167,-0.005025485,-0.000747273,-0.004465688,0.001174501,-0.002796273,0.007729552,0.011961629,-0.000171072
-0.001683599,0.004263198,0.004578619,0.003979093,0.00426117,-0.004706,0.001160393,-0.002891685,-0.00406702,0.004100445
